player_name,market_value_million_eur,nationality,position,club,league,age,matches_played,starts,minutes_played,goals,assists,penalty_goals,penalty_attempts,goals_per_90,assists_per_90,goals_plus_assists,passes_completed,passes_attempted,pass_completion_pct,touches,tackles,pressures,successful_pressures,blocks,interceptions,clearances
Kevin De Bruyne,120.0,BEL,MF,Manchester City,Premier League,28.0,48.0,38.0,3311.0,12.0,19.0,2.0,2.0,0.33,0.52,0.85,2084.0,2772.0,75.18,3201.0,55.0,770.0,216.0,39.0,20.0,21.0
Bernardo Silva,80.0,POR,"MF,FW",Manchester City,Premier League,24.0,63.0,50.0,4521.0,12.0,14.0,0.0,0.0,0.24,0.28,0.52,2596.0,3049.0,85.14,3603.0,90.0,1229.0,332.0,87.0,48.0,28.0
N'Golo Kanté,80.0,FRA,MF,Chelsea,Premier League,28.0,57.0,55.0,4747.0,7.0,4.0,0.0,0.0,0.13,0.08,0.21,2778.0,3195.0,86.95,3842.0,137.0,1336.0,427.0,115.0,91.0,61.0
Paul Pogba,80.0,FRA,MF,Manchester Utd,Premier League,26.0,45.0,41.0,3698.0,13.0,12.0,0.0,1.0,0.32,0.29,0.61,2307.0,2804.0,82.28,3388.0,65.0,773.0,194.0,49.0,24.0,40.0
Christian Eriksen,68.0,DEN,"MF,FW",Tottenham,Premier League,27.0,55.0,40.0,3871.0,10.0,14.0,0.0,0.0,0.23,0.33,0.56,2089.0,2728.0,76.58,3162.0,60.0,933.0,244.0,63.0,25.0,19.0
Rodri,64.0,ESP,MF,Manchester City,Premier League,23.0,63.0,56.0,4857.0,6.0,2.0,0.0,0.0,0.11,0.04,0.15,3823.0,4147.0,92.19,4652.0,166.0,1140.0,353.0,74.0,66.0,124.0
Dele Alli,64.0,ENG,"MF,FW",Tottenham,Premier League,23.0,48.0,43.0,3641.0,13.0,7.0,1.0,1.0,0.32,0.17,0.49,1461.0,1848.0,79.06,2434.0,72.0,945.0,260.0,88.0,31.0,31.0
Fabinho,56.0,BRA,MF,Liverpool,Premier League,25.0,50.0,38.0,3646.0,3.0,4.0,0.0,0.0,0.07,0.1,0.17,2569.0,2961.0,86.76,3372.0,127.0,825.0,254.0,73.0,61.0,79.0
Jorginho,52.0,ITA,MF,Chelsea,Premier League,27.0,63.0,60.0,5167.0,6.0,2.0,3.0,3.0,0.1,0.03,0.13,4309.0,4868.0,88.52,5386.0,134.0,1137.0,345.0,91.0,123.0,60.0
Declan Rice,49.5,ENG,MF,West Ham,Premier League,20.0,66.0,66.0,5883.0,2.0,2.0,0.0,0.0,0.03,0.03,0.06,2614.0,3022.0,86.5,3621.0,202.0,1515.0,431.0,116.0,115.0,115.0
James Maddison,48.0,ENG,MF,Leicester City,Premier League,22.0,67.0,64.0,5455.0,13.0,10.0,0.0,0.0,0.21,0.16,0.37,2525.0,3291.0,76.72,3971.0,115.0,1393.0,357.0,52.0,23.0,14.0
Bruno Fernandes,48.0,POR,MF,Manchester Utd,Premier League,24.0,8.0,8.0,678.0,5.0,3.0,2.0,2.0,0.66,0.4,1.06,389.0,548.0,70.99,649.0,14.0,187.0,48.0,9.0,7.0,9.0
Youri Tielemans,44.0,BEL,MF,Leicester City,Premier League,22.0,44.0,39.0,3415.0,6.0,9.0,0.0,0.0,0.16,0.24,0.4,1756.0,2135.0,82.25,2556.0,58.0,752.0,203.0,58.0,29.0,37.0
Youri Tielemans,44.0,BEL,MF,Leicester City,Premier League,,,,,,,,,,,,,,,,,,,,,
Wilfried Zaha,44.0,CIV,"MF,FW",Crystal Palace,Premier League,26.0,66.0,65.0,5776.0,13.0,8.0,0.0,0.0,0.2,0.12,0.32,1676.0,2155.0,77.77,3360.0,84.0,1470.0,391.0,61.0,24.0,6.0
Mattéo Guendouzi,40.5,FRA,MF,Arsenal,Premier League,20.0,57.0,42.0,3897.0,0.0,1.0,0.0,0.0,0.0,0.02,0.02,2430.0,2767.0,87.82,3212.0,60.0,862.0,239.0,77.0,57.0,76.0
Mason Mount,40.5,ENG,"MF,FW",Chelsea,Premier League,20.0,32.0,27.0,2515.0,6.0,4.0,0.0,0.0,0.21,0.14,0.35,999.0,1238.0,80.69,1580.0,46.0,670.0,188.0,23.0,14.0,15.0
Giovani Lo Celso,40.0,ARG,"MF,FW",Tottenham,Premier League,23.0,22.0,8.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,793.0,83.98,960.0,35.0,318.0,110.0,19.0,8.0,16.0
Giovani Lo Celso,40.0,ARG,"MF,FW",Tottenham,Premier League,,,,,,,,,,,,,,,,,,,,,
Rúben Neves,40.0,POR,MF,Wolves,Premier League,22.0,67.0,63.0,5555.0,6.0,4.0,0.0,0.0,0.1,0.06,0.16,2888.0,3596.0,80.31,4243.0,117.0,1277.0,324.0,132.0,119.0,97.0
Georginio Wijnaldum,40.0,NED,MF,Liverpool,Premier League,28.0,65.0,61.0,5162.0,6.0,0.0,0.0,0.0,0.1,0.0,0.1,2873.0,3162.0,90.86,3668.0,73.0,903.0,272.0,60.0,40.0,51.0
Lucas Torreira,36.0,URU,MF,Arsenal,Premier League,23.0,58.0,39.0,3755.0,3.0,3.0,0.0,0.0,0.07,0.07,0.14,2146.0,2454.0,87.45,2921.0,94.0,951.0,242.0,66.0,69.0,69.0
Wilfred Ndidi,36.0,NGA,MF,Leicester City,Premier League,22.0,64.0,60.0,5460.0,4.0,1.0,0.0,0.0,0.07,0.02,0.09,2842.0,3442.0,82.57,4301.0,261.0,1542.0,498.0,140.0,154.0,172.0
Naby Keïta,33.5,GUI,MF,Liverpool,Premier League,24.0,36.0,21.0,1831.0,3.0,2.0,0.0,0.0,0.15,0.1,0.25,1329.0,1495.0,88.9,1780.0,56.0,531.0,173.0,47.0,21.0,16.0
Dani Ceballos,32.0,ESP,MF,Arsenal,Premier League,22.0,41.0,26.0,2494.0,3.0,2.0,0.0,0.0,0.11,0.07,0.18,1788.0,2019.0,88.56,2355.0,68.0,717.0,190.0,46.0,40.0,22.0
Harry Winks,32.0,ENG,MF,Tottenham,Premier League,23.0,51.0,37.0,3279.0,1.0,0.0,0.0,0.0,0.03,0.0,0.03,2433.0,2705.0,89.94,2989.0,59.0,715.0,209.0,48.0,45.0,41.0
Felipe Anderson,32.0,BRA,"MF,FW",West Ham,Premier League,26.0,60.0,56.0,4536.0,10.0,8.0,0.0,0.0,0.2,0.16,0.36,2053.0,2753.0,74.57,3462.0,121.0,1121.0,276.0,88.0,66.0,24.0
Lucas Moura,32.0,BRA,"MF,FW",Tottenham,Premier League,26.0,60.0,44.0,3874.0,14.0,2.0,0.0,0.0,0.33,0.05,0.38,1050.0,1405.0,74.73,2063.0,66.0,869.0,228.0,53.0,39.0,39.0
Jack Grealish,30.5,ENG,"MF,FW",Aston Villa,Premier League,23.0,30.0,30.0,2693.0,7.0,6.0,0.0,1.0,0.23,0.2,0.43,1077.0,1355.0,79.48,1785.0,31.0,503.0,128.0,52.0,19.0,11.0
Mason Greenwood,29.0,ENG,"MF,FW",Manchester Utd,Premier League,17.0,28.0,7.0,975.0,6.0,1.0,0.0,0.0,0.55,0.09,0.64,338.0,399.0,84.71,528.0,19.0,181.0,57.0,12.0,5.0,4.0
Diogo Jota,28.0,POR,"MF,FW",Wolves,Premier League,22.0,61.0,53.0,4299.0,15.0,6.0,0.0,0.0,0.31,0.13,0.44,1185.0,1537.0,77.1,2268.0,62.0,1029.0,243.0,34.0,21.0,16.0
Alex Oxlade-Chamberlain,28.0,ENG,"MF,FW",Liverpool,Premier League,25.0,25.0,13.0,1196.0,3.0,0.0,0.0,0.0,0.23,0.0,0.23,541.0,677.0,79.91,874.0,21.0,320.0,100.0,27.0,21.0,6.0
Jordan Henderson,28.0,ENG,MF,Liverpool,Premier League,29.0,59.0,45.0,4026.0,4.0,8.0,0.0,0.0,0.09,0.18,0.27,3091.0,3628.0,85.2,4023.0,109.0,1000.0,298.0,75.0,61.0,48.0
Phil Foden,27.0,ENG,"MF,FW",Manchester City,Premier League,19.0,29.0,7.0,802.0,4.0,1.0,0.0,0.0,0.45,0.11,0.56,472.0,549.0,85.97,675.0,19.0,323.0,90.0,12.0,6.0,3.0
Alex Iwobi,25.5,NGA,"MF,FW",Everton,Premier League,23.0,56.0,38.0,3380.0,4.0,6.0,0.0,0.0,0.11,0.16,0.27,1171.0,1561.0,75.02,1987.0,49.0,754.0,197.0,43.0,23.0,12.0
Adama Traoré,25.5,ESP,"MF,FW",Wolves,Premier League,23.0,37.0,26.0,2442.0,4.0,10.0,0.0,0.0,0.15,0.37,0.52,621.0,931.0,66.7,1365.0,41.0,415.0,103.0,30.0,20.0,22.0
Moise Kean,25.0,ITA,"MF,FW",Everton,Premier League,19.0,37.0,10.0,1241.0,7.0,2.0,0.0,0.0,0.51,0.15,0.66,163.0,214.0,76.17,412.0,8.0,169.0,44.0,7.0,8.0,5.0
Ayoze Pérez,24.0,ESP,"MF,FW",Leicester City,Premier League,26.0,64.0,55.0,4526.0,19.0,6.0,1.0,1.0,0.38,0.12,0.5,1107.0,1444.0,76.66,2220.0,97.0,1431.0,333.0,99.0,54.0,45.0
Granit Xhaka,24.0,SUI,MF,Arsenal,Premier League,26.0,54.0,54.0,4589.0,5.0,3.0,0.0,0.0,0.1,0.06,0.16,3364.0,3979.0,84.54,4475.0,104.0,817.0,244.0,82.0,49.0,137.0
Scott McTominay,22.5,SCO,MF,Manchester Utd,Premier League,22.0,39.0,28.0,2540.0,6.0,1.0,0.0,0.0,0.21,0.04,0.25,1134.0,1376.0,82.41,1758.0,64.0,381.0,106.0,49.0,44.0,70.0
Leander Dendoncker,22.5,BEL,"MF,DF",Wolves,Premier League,24.0,51.0,45.0,3919.0,5.0,0.0,0.0,0.0,0.11,0.0,0.11,1471.0,1763.0,83.44,2233.0,108.0,1041.0,285.0,91.0,58.0,120.0
Ross Barkley,21.5,ENG,MF,Chelsea,Premier League,25.0,43.0,23.0,2090.0,3.0,8.0,0.0,0.0,0.13,0.34,0.47,1347.0,1507.0,89.38,1816.0,26.0,399.0,99.0,23.0,16.0,26.0
Sander Berge,20.0,NOR,MF,Sheffield Utd,Premier League,21.0,7.0,5.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,233.0,74.68,300.0,14.0,151.0,37.0,18.0,7.0,10.0
Todd Cantwell,20.0,ENG,"MF,FW",Norwich City,Premier League,21.0,32.0,27.0,2209.0,6.0,2.0,0.0,0.0,0.24,0.08,0.32,817.0,1024.0,79.79,1396.0,43.0,522.0,137.0,53.0,15.0,32.0
Allan Saint-Maximin,20.0,FRA,"MF,FW",Newcastle Utd,Premier League,22.0,55.0,52.0,4397.0,8.0,7.0,0.0,0.0,0.16,0.14,0.3,1009.0,1372.0,73.54,2127.0,26.0,544.0,126.0,36.0,14.0,9.0
Jefferson Lerma,20.0,COL,MF,Bournemouth,Premier League,24.0,57.0,54.0,4678.0,3.0,2.0,0.0,0.0,0.06,0.04,0.1,2290.0,2776.0,82.49,3353.0,113.0,1007.0,269.0,91.0,101.0,137.0
Eric Dier,20.0,ENG,"MF,DF",Tottenham,Premier League,25.0,36.0,30.0,2580.0,3.0,2.0,0.0,0.0,0.1,0.07,0.17,1499.0,1819.0,82.41,2112.0,50.0,454.0,128.0,58.0,35.0,108.0
Abdoulaye Doucouré,20.0,FRA,MF,Watford,Premier League,26.0,66.0,64.0,5716.0,9.0,8.0,0.0,0.0,0.14,0.13,0.27,2787.0,3420.0,81.49,4140.0,136.0,1586.0,406.0,89.0,59.0,83.0
Moussa Sissoko,20.0,FRA,MF,Tottenham,Premier League,29.0,51.0,48.0,4199.0,2.0,4.0,0.0,0.0,0.04,0.09,0.13,2132.0,2472.0,86.25,2922.0,91.0,805.0,230.0,71.0,37.0,55.0
Dennis Praet,19.0,BEL,MF,Leicester City,Premier League,25.0,56.0,45.0,3904.0,3.0,5.0,0.0,0.0,0.07,0.12,0.19,1956.0,2356.0,83.02,2836.0,102.0,864.0,213.0,77.0,50.0,49.0
Dwight McNeil,18.0,ENG,MF,Burnley,Premier League,19.0,53.0,51.0,4389.0,5.0,11.0,0.0,0.0,0.1,0.23,0.33,1107.0,1645.0,67.29,2226.0,74.0,1154.0,260.0,96.0,38.0,57.0
Douglas Luiz,18.0,BRA,MF,Aston Villa,Premier League,21.0,53.0,38.0,3569.0,3.0,2.0,0.0,0.0,0.08,0.05,0.13,1472.0,1799.0,81.82,2220.0,73.0,826.0,213.0,81.0,47.0,64.0
Harvey Barnes,17.5,ENG,MF,Leicester City,Premier League,21.0,46.0,33.0,2844.0,7.0,8.0,0.0,0.0,0.22,0.25,0.47,735.0,975.0,75.38,1372.0,29.0,462.0,116.0,31.0,8.0,10.0
Sean Longstaff,17.5,ENG,MF,Newcastle Utd,Premier League,21.0,31.0,22.0,2023.0,2.0,1.0,0.0,0.0,0.09,0.04,0.13,739.0,938.0,78.78,1208.0,63.0,727.0,182.0,49.0,29.0,41.0
Harry Wilson,17.5,WAL,"MF,FW",Bournemouth,Premier League,22.0,26.0,20.0,1534.0,7.0,0.0,0.0,0.0,0.41,0.0,0.41,435.0,576.0,75.52,798.0,22.0,385.0,89.0,34.0,9.0,18.0
Fred,17.5,BRA,MF,Manchester Utd,Premier League,26.0,43.0,36.0,3132.0,1.0,1.0,0.0,0.0,0.03,0.03,0.06,2081.0,2441.0,85.25,2910.0,114.0,1037.0,284.0,96.0,54.0,31.0
Ryan Fraser,17.5,SCO,"MF,FW",Bournemouth,Premier League,25.0,66.0,56.0,5233.0,8.0,18.0,0.0,0.0,0.14,0.31,0.45,1667.0,2455.0,67.9,2942.0,23.0,788.0,150.0,69.0,39.0,40.0
Jesse Lingard,17.5,ENG,"MF,FW",Manchester Utd,Premier League,26.0,47.0,28.0,2555.0,4.0,2.0,0.0,0.0,0.14,0.07,0.21,1002.0,1179.0,84.99,1477.0,32.0,858.0,219.0,31.0,12.0,7.0
Mesut Özil,17.5,GER,MF,Arsenal,Premier League,30.0,42.0,38.0,3173.0,6.0,4.0,0.0,0.0,0.17,0.11,0.28,1782.0,2070.0,86.09,2352.0,22.0,613.0,140.0,18.0,10.0,5.0
Pablo Fornals,16.0,ESP,"MF,FW",West Ham,Premier League,23.0,65.0,46.0,4183.0,4.0,8.0,0.0,0.0,0.09,0.17,0.26,1468.0,1901.0,77.22,2488.0,81.0,1327.0,292.0,92.0,43.0,28.0
Joe Willock,16.0,ENG,MF,Arsenal,Premier League,19.0,25.0,8.0,778.0,1.0,0.0,0.0,0.0,0.12,0.0,0.12,286.0,344.0,83.14,487.0,20.0,236.0,62.0,17.0,4.0,11.0
Jarrod Bowen,16.0,ENG,"MF,FW",West Ham,Premier League,22.0,7.0,5.0,441.0,1.0,2.0,0.0,0.0,0.2,0.41,0.61,101.0,142.0,71.13,236.0,16.0,130.0,33.0,11.0,12.0,4.0
Tom Davies,16.0,ENG,MF,Everton,Premier League,21.0,40.0,27.0,2520.0,1.0,0.0,0.0,0.0,0.04,0.0,0.04,918.0,1169.0,78.53,1484.0,54.0,572.0,132.0,41.0,43.0,25.0
Miguel Almirón,16.0,PAR,"MF,FW",Newcastle Utd,Premier League,25.0,41.0,39.0,3356.0,3.0,2.0,0.0,0.0,0.08,0.05,0.13,777.0,1042.0,74.57,1544.0,64.0,895.0,216.0,58.0,37.0,18.0
Lewis Cook,16.0,ENG,MF,Bournemouth,Premier League,22.0,36.0,21.0,1957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,1094.0,79.16,1307.0,40.0,481.0,95.0,28.0,28.0,23.0
